Name,Variation,DIY,Buy,Sell,Color 1,Color 2,Size,Source,Source Notes,Seasonal Availability,Mannequin Piece,Version,Style,Label Themes,Villager Equippable,Catalog,Filename,Internal ID,Unique Entry ID
ancient belted robe,White,No,3640,910,White,Black,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Elegant,formal,Yes,For sale,TopsTexOnepieceKimonoLKanpukumen3,9160,Fcbj8smE8XoZJuH3h
ancient belted robe,Purple,No,3640,910,Purple,Black,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Elegant,formal,Yes,For sale,TopsTexOnepieceKimonoLKanpukumen4,9161,2Pz2drQkcbzDF5dXX
ancient sashed robe,Green,No,2520,630,Green,Red,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Elegant,formal,Yes,For sale,TopsTexOnepieceKimonoLKanpukuwomen0,5519,9ia2ueaAKgT25KpLq
ancient sashed robe,Pink,No,2520,630,Pink,Purple,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Elegant,formal,Yes,For sale,TopsTexOnepieceKimonoLKanpukuwomen1,9162,vRcHxEwpupmHocSZi
ancient sashed robe,Red,No,2520,630,Pink,Red,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Elegant,formal,Yes,For sale,TopsTexOnepieceKimonoLKanpukuwomen2,9163,fkKFHi8LSBqQnF5fP
ancient sashed robe,Blue,No,2520,630,Light blue,Blue,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Elegant,formal,Yes,For sale,TopsTexOnepieceKimonoLKanpukuwomen3,9164,eZq27jsCvY5jxiyJX
ancient sashed robe,Purple,No,2520,630,Purple,Purple,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Elegant,formal,Yes,For sale,TopsTexOnepieceKimonoLKanpukuwomen4,9165,jr6P62azs7uQ2gzjL
áo dài,White,No,2520,630,White,White,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Elegant,everyday; formal,Yes,For sale,TopsTexOnepieceBlongLAodai0,3493,KPYgXwbrnLgBT7aaS
áo dài,Navy blue,No,2520,630,Blue,White,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Elegant,everyday; formal,Yes,For sale,TopsTexOnepieceBlongLAodai1,9141,qJ6wpwNd8tRK4mJqt
áo dài,Yellow,No,2520,630,Yellow,White,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Elegant,everyday; formal,Yes,For sale,TopsTexOnepieceBlongLAodai2,9142,iCHJh668S3FYby4iz
áo dài,Green,No,2520,630,Green,White,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Elegant,everyday; formal,Yes,For sale,TopsTexOnepieceBlongLAodai3,9143,bkv3c36HA4856YrPL
áo dài,Pink,No,2520,630,Pink,White,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Elegant,everyday; formal,Yes,For sale,TopsTexOnepieceBlongLAodai4,9144,EhoEQfAaNHBCYq6ET
apple dress,Red,Yes,NFS,1600,Yellow,Red,1x1,Crafting,,All Year,No,1.0.0,Cute,fairy tale; party; theatrical,Yes,Not for sale,TopsTexOnepieceAlineNApple0,9836,4r6bu79MTGChcioYr
astro dress,Blue,No,2500,625,Gray,Blue,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Cool,fairy tale; theatrical,Yes,For sale,TopsTexOnepieceAlineNSpace0,5135,YgSrhdHZosAdNtDvp
astro dress,Green,No,2500,625,Gray,Green,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Cool,fairy tale; theatrical,Yes,For sale,TopsTexOnepieceAlineNSpace1,7890,Zwb2C5oFXQ3ip2KTb
astro dress,Pink,No,2500,625,Gray,Pink,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Cool,fairy tale; theatrical,Yes,For sale,TopsTexOnepieceAlineNSpace2,7891,MCrJgJnwLXfXbNiTA
attus robe,Blue,No,2520,630,Blue,Beige,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Cool,everyday; formal,Yes,For sale,TopsTexOnepieceBlongLAttoushi0,10907,GCnizpuhnhMnWodB6
attus robe,Brown,No,2520,630,Brown,Light blue,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Cool,everyday; formal,Yes,For sale,TopsTexOnepieceBlongLAttoushi1,11998,uWaA98hr4zo2nE424
attus robe,Red,No,2520,630,Red,Yellow,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Cool,everyday; formal,Yes,For sale,TopsTexOnepieceBlongLAttoushi2,11999,GKPivR7QXbRhAH589
baby romper,Baby mint,No,1920,480,Light blue,Light blue,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Cute,fairy tale; comfy,Yes,For sale,TopsTexOnepieceOverallLRompers0,4470,fpTozgJHe8zAbuoJr
baby romper,Baby purple,No,1920,480,Pink,Pink,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Cute,fairy tale; comfy,Yes,For sale,TopsTexOnepieceOverallLRompers1,7828,xaNwcn2BKpELEEcJu
baby romper,Baby yellow,No,1920,480,Yellow,Yellow,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Cute,fairy tale; comfy,Yes,For sale,TopsTexOnepieceOverallLRompers2,7829,jATy7chF9RZSpzgkM
baby romper,Baby green,No,1920,480,Green,Green,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Cute,fairy tale; comfy,Yes,For sale,TopsTexOnepieceOverallLRompers3,7830,3wYgbYbbc9R7XK6sT
baby romper,Baby pink,No,1920,480,Red,Red,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Cute,fairy tale; comfy,Yes,For sale,TopsTexOnepieceOverallLRompers4,7831,xugKSBhsTLu7iJHqf
baby romper,Baby gray,No,1920,480,Beige,Beige,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Cute,fairy tale; comfy,Yes,For sale,TopsTexOnepieceOverallLRompers5,7832,AXWwhihKEF9GCxh7R
baby romper,Baby blue,No,1920,480,Blue,Blue,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Cute,fairy tale; comfy,Yes,For sale,TopsTexOnepieceOverallLRompers6,7833,6SATwHBYcR8soiT2n
baby romper,Baby orange,No,1920,480,Orange,Orange,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Cute,fairy tale; comfy,Yes,For sale,TopsTexOnepieceOverallLRompers7,7834,63PAmvstBoJvzyYq9
baby-chick costume,Yellow,No,1700,425,Yellow,Yellow,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Yes,1.0.0,Cute,fairy tale; party; theatrical,Yes,For sale,TopsTexOnepieceRibNChick0,5644,YA7qY7v9XHAvmqbXH
baby-chick costume,Blue,No,1700,425,Light blue,Light blue,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Cute,fairy tale; party; theatrical,Yes,For sale,TopsTexOnepieceRibNChick1,9640,gW7sLivQcaehgbjXP
baby-chick costume,Beige,No,1700,425,Beige,Beige,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Cute,fairy tale; party; theatrical,Yes,For sale,TopsTexOnepieceRibNChick2,9641,ypSLLZTw54xErGjfT
baji jeogori,Blue,No,2520,630,Blue,Light blue,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Elegant,formal,Yes,For sale,TopsTexOnepieceKimonoLKorea0,5818,oiNZmTDej7FHJY8Ab
baji jeogori,Purple,No,2520,630,Purple,Pink,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Elegant,formal,Yes,For sale,TopsTexOnepieceKimonoLKorea1,9166,MiGR4W6zqSmxAaidp
baji jeogori,Aqua,No,2520,630,Light blue,Pink,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Elegant,formal,Yes,For sale,TopsTexOnepieceKimonoLKorea2,9167,AJkbvYDxyGcQpGKFG
baji jeogori,Black,No,2520,630,Black,Gray,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Elegant,formal,Yes,For sale,TopsTexOnepieceKimonoLKorea3,9168,MapEioZAxqTnzK2Mz
ballet outfit,Pink,No,2880,720,Pink,Yellow,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Cute,fairy tale; sporty; theatrical; work,Yes,For sale,TopsTexOnepieceBalloonNBallet0,3166,PR8F8HXT6zhFmiSoL
ballet outfit,Mint,No,2880,720,Green,Yellow,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Cute,fairy tale; sporty; theatrical; work,Yes,For sale,TopsTexOnepieceBalloonNBallet1,9412,5ppj9ELW2ts4jnpfK
ballet outfit,Blue,No,2880,720,Blue,Yellow,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Cute,fairy tale; sporty; theatrical; work,Yes,For sale,TopsTexOnepieceBalloonNBallet2,9413,xZnnLbWuk4NqYx7da
ballet outfit,Purple,No,2880,720,Purple,Yellow,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Cute,fairy tale; sporty; theatrical; work,Yes,For sale,TopsTexOnepieceBalloonNBallet3,9414,a3SPLxg8gvdHASamJ
ballet outfit,Black,No,2880,720,Black,Yellow,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Cute,fairy tale; sporty; theatrical; work,Yes,For sale,TopsTexOnepieceBalloonNBallet4,9415,cZuKQFyeLymFGDngJ
ballet outfit,White,No,2880,720,White,Yellow,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Cute,fairy tale; sporty; theatrical; work,Yes,For sale,TopsTexOnepieceBalloonNBallet5,9416,cRmBbYvn7e6bdJBfi
ballet outfit,Yellow,No,2880,720,Yellow,Yellow,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Cute,fairy tale; sporty; theatrical; work,Yes,For sale,TopsTexOnepieceBalloonNBallet6,9417,wFeRZDBHF9PmpaH8q
ballet outfit,Red,No,2880,720,Red,Yellow,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Cute,fairy tale; sporty; theatrical; work,Yes,For sale,TopsTexOnepieceBalloonNBallet7,9418,BXLtytts48iRPNmy9
balmacaan coat,Avocado,No,1540,385,Green,Green,1x1,Able Sisters,Available from Able Sisters shop only,Winter,Yes,1.0.0,Simple,everyday,Yes,For sale,TopsTexOnepieceBlongLBalmakarn0,4606,ZSrYa9yCZuEtRuDXa
balmacaan coat,Beige,No,1540,385,Beige,Beige,1x1,Able Sisters,Available from Able Sisters shop only,Winter,No,1.0.0,Simple,everyday,Yes,For sale,TopsTexOnepieceBlongLBalmakarn1,9306,j36QhnToq72NcFoTv
balmacaan coat,Navy blue,No,1540,385,Blue,Blue,1x1,Able Sisters,Available from Able Sisters shop only,Winter,No,1.0.0,Simple,everyday,Yes,For sale,TopsTexOnepieceBlongLBalmakarn2,9307,6dMCMfwf8Gekwt6ww
baseball uniform,Red,No,1760,440,Red,White,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Active,sporty; work,Yes,For sale,TopsTexOnepieceOverallLBaseball0,3611,HhoXdZZZWxQGCk752
baseball uniform,Navy blue,No,1760,440,Blue,White,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Active,sporty; work,Yes,For sale,TopsTexOnepieceOverallLBaseball1,11106,CziYkwQpHnwwgwmsF
baseball uniform,Green,No,1760,440,Green,White,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Active,sporty; work,Yes,For sale,TopsTexOnepieceOverallLBaseball2,11107,RPu7p2wCQzzJsoZ9F
baseball uniform,Orange,No,1760,440,Black,Orange,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Active,sporty; work,Yes,For sale,TopsTexOnepieceOverallLBaseball3,11108,3gxYZqHjofPiXoQYi
baseball uniform,Yellow,No,1760,440,Black,Yellow,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Active,sporty; work,Yes,For sale,TopsTexOnepieceOverallLBaseball4,11109,DhRRcfvrdTfMFERYf
bath-towel wrap,Pink,No,630,157,Pink,Pink,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Simple,comfy,Yes,For sale,TopsTexOnepieceBoxNBathtowel0,4361,maeBfSoK7TC9hgFNX
bath-towel wrap,White,No,630,157,White,White,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Simple,comfy,Yes,For sale,TopsTexOnepieceBoxNBathtowel1,7811,JS6Z64sHXkWgXYWvE
bath-towel wrap,Blue,No,630,157,Light blue,Light blue,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Simple,comfy,Yes,For sale,TopsTexOnepieceBoxNBathtowel2,7812,cstqgzaWuqDB8ti93
bath-towel wrap,Green,No,630,157,Green,Green,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Simple,comfy,Yes,For sale,TopsTexOnepieceBoxNBathtowel3,7813,4CLJ5docy9jtzAG4z
bath-towel wrap,Purple,No,630,157,Purple,Purple,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Simple,comfy,Yes,For sale,TopsTexOnepieceBoxNBathtowel4,7814,cZrL49HyDM6tjieuB
bath-towel wrap,Black,No,630,157,Black,Black,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Simple,comfy,Yes,For sale,TopsTexOnepieceBoxNBathtowel5,7815,FAb5AGmEnEdCqCp4F
bath-towel wrap,Brown,No,630,157,Brown,Brown,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Simple,comfy,Yes,For sale,TopsTexOnepieceBoxNBathtowel6,7816,BQj2oNwq8HYhtenp8
bathrobe,White,No,720,180,White,White,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Simple,comfy,Yes,For sale,TopsTexOnepieceBoxLBathrobes0,3165,nW28CtMTSt7iNNEQZ
bathrobe,Pink,No,720,180,Pink,Pink,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Simple,comfy,Yes,For sale,TopsTexOnepieceBoxLBathrobes1,7817,WF5NasbTTRETdwzHn
bathrobe,Blue,No,720,180,Light blue,Light blue,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Simple,comfy,Yes,For sale,TopsTexOnepieceBoxLBathrobes2,7818,XY5ESy5YS2XvYXPYa
bathrobe,Green,No,720,180,Green,Green,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Simple,comfy,Yes,For sale,TopsTexOnepieceBoxLBathrobes3,7819,gjHaiKH55sce26ZSY
bathrobe,Purple,No,720,180,Purple,Purple,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Simple,comfy,Yes,For sale,TopsTexOnepieceBoxLBathrobes4,7820,6z4GYHuFH3sZinmww
bathrobe,Black,No,720,180,Black,Black,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Simple,comfy,Yes,For sale,TopsTexOnepieceBoxLBathrobes5,7821,Hpg2duFhoHoKHDrqj
bathrobe,Brown,No,720,180,Brown,Brown,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Simple,comfy,Yes,For sale,TopsTexOnepieceBoxLBathrobes6,7822,98b39TTftthoRbnsR
bear costume,Brown,No,1700,425,Brown,Beige,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Cute,fairy tale; party; theatrical,Yes,For sale,TopsTexOnepieceOverallLBear0,3417,hjNai4dfzoqt6oX2m
bear costume,Black,No,1700,425,Black,Beige,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Cute,fairy tale; party; theatrical,Yes,For sale,TopsTexOnepieceOverallLBear1,9628,tbpLhy27tD3AQPYCD
bear costume,Pink,No,1700,425,Pink,Beige,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Cute,fairy tale; party; theatrical,Yes,For sale,TopsTexOnepieceOverallLBear2,9629,mB4TGMowDroYHofZt
bear costume,Blue,No,1700,425,Light blue,White,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Cute,fairy tale; party; theatrical,Yes,For sale,TopsTexOnepieceOverallLBear3,9630,rs5SZ3Qh4gxjafnSM
bekasab robe,Red,No,2520,630,Red,Brown,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Gorgeous,everyday; formal,Yes,For sale,TopsTexOnepieceAlongLUzbek0,10906,Q34fhddd9EffXaHvS
bekasab robe,Blue,No,2520,630,Light blue,Blue,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Gorgeous,everyday; formal,Yes,For sale,TopsTexOnepieceAlongLUzbek1,11995,qPLZ3iuMRK7o5CnWK
bekasab robe,Camel,No,2520,630,Orange,Brown,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Gorgeous,everyday; formal,Yes,For sale,TopsTexOnepieceAlongLUzbek2,11996,eq8oNByquPyya2TuN
bekasab robe,Purple,No,2520,630,Purple,Pink,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Gorgeous,everyday; formal,Yes,For sale,TopsTexOnepieceAlongLUzbek3,11997,36BRJXGD3tMyAmc2g
belted dotted dress,Light blue,No,2000,500,Light blue,White,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Summer,No,1.0.0,Cute,fairy tale; party; vacation,Yes,For sale,TopsTexOnepieceBalloonHPolkadot0,3054,PwiZ9vT4c8kDb3F83
belted dotted dress,Pink,No,2000,500,Pink,White,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Summer,No,1.0.0,Cute,fairy tale; party; vacation,Yes,For sale,TopsTexOnepieceBalloonHPolkadot1,8866,aoGyqkZ4sz3rm5W9h
belted dotted dress,Yellow,No,2000,500,Yellow,White,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Summer,No,1.0.0,Cute,fairy tale; party; vacation,Yes,For sale,TopsTexOnepieceBalloonHPolkadot2,8867,bkwKdTiDoub9FjgBg
belted dotted dress,Green,No,2000,500,Green,White,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Summer,No,1.0.0,Cute,fairy tale; party; vacation,Yes,For sale,TopsTexOnepieceBalloonHPolkadot3,8868,ABXLKuYheFcunS3pk
bingata dress,Yellow,No,2520,630,Yellow,Red,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Elegant,theatrical,Yes,For sale,TopsTexOnepieceKimonoLBingata0,10908,XfmN6jSCvgu5jd6Y6
blossom dress,Pink,No,1500,375,Pink,White,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Cute,everyday; fairy tale,Yes,For sale,TopsTexOnepieceAlineHFlower0,3069,GqYyjv48SGxMn4GuZ
blossom dress,Blue,No,1500,375,Light blue,White,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Cute,everyday; fairy tale,Yes,For sale,TopsTexOnepieceAlineHFlower1,8806,htYweYAfTJ9GJrQzZ
blossom dress,Yellow,No,1500,375,Yellow,White,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Cute,everyday; fairy tale,Yes,For sale,TopsTexOnepieceAlineHFlower2,8807,uSPwJQvogSRpTTviE
blossom dress,Green,No,1500,375,Green,White,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Cute,everyday; fairy tale,Yes,For sale,TopsTexOnepieceAlineHFlower3,8808,5wRSMJBtc72WxCajX
blossom dress,Purple,No,1500,375,Purple,White,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Cute,everyday; fairy tale,Yes,For sale,TopsTexOnepieceAlineHFlower4,8809,EZHMvPc53oJhSGAtT
blossoming kimono,Pink,No,3220,805,Pink,Red,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Elegant,formal; party,Yes,For sale,TopsTexOnepieceKimonoLUme0,3572,2DCsWtgzNsYcGh56w
blossoming kimono,Green tea,No,3220,805,Green,Green,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Elegant,formal; party,Yes,For sale,TopsTexOnepieceKimonoLUme1,8980,JpsCXspD9GyZr2CHg
boa parka,Mint,No,1800,450,Green,Green,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Winter,Yes,1.0.0,Simple,everyday; outdoorsy; comfy,Yes,For sale,TopsTexOnepieceRibLBore0,4604,q4LZzkARHi5RcyS2z
boa parka,Purple,No,1800,450,Purple,Purple,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Winter,No,1.0.0,Simple,everyday; outdoorsy; comfy,Yes,For sale,TopsTexOnepieceRibLBore1,7981,Ykh2csg5jNzWWNKXs
boa parka,Gray,No,1800,450,Gray,Gray,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Winter,No,1.0.0,Simple,everyday; outdoorsy; comfy,Yes,For sale,TopsTexOnepieceRibLBore2,7982,uqCRPjmFqdAciwCS7
boa parka,Pink,No,1800,450,Pink,Pink,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Winter,No,1.0.0,Simple,everyday; outdoorsy; comfy,Yes,For sale,TopsTexOnepieceRibLBore3,7983,ockTRKCSKitWDMQnK
Bohemian tunic dress,Red,No,1900,475,Beige,Red,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Elegant,everyday; comfy; vacation,Yes,For sale,TopsTexOnepieceBoxLBohemian0,4409,RCDLSmXjZZgrYgbzN
Bohemian tunic dress,Navy blue,No,1900,475,Gray,Blue,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Elegant,everyday; comfy; vacation,Yes,For sale,TopsTexOnepieceBoxLBohemian1,8593,fNqA8hLL4ASq32SAM
Bohemian tunic dress,Green,No,1900,475,Beige,Green,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Elegant,everyday; comfy; vacation,Yes,For sale,TopsTexOnepieceBoxLBohemian2,8594,sGh95yCJkzDWrSTTW
bold muumuu,Navy blue,No,1600,400,Blue,Red,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Summer,No,1.0.0,Active,comfy; vacation,Yes,For sale,TopsTexOnepieceAlineNPolynesia0,8190,3XZaJAkpmWQCriPfT
bold muumuu,Pink,No,1600,400,Pink,Light blue,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Summer,No,1.0.0,Active,comfy; vacation,Yes,For sale,TopsTexOnepieceAlineNPolynesia1,8604,6QhkL2fSo3kgqeGvG
bolero coat,Pink,No,2080,520,Pink,White,1x1,Able Sisters,Available from Able Sisters shop only,Winter,No,1.0.0,Cute,everyday; fairy tale; comfy,Yes,For sale,TopsTexOnepieceAlineLBolerocoat0,4334,NJHcQoiKTqwiKp8nQ
bolero coat,Yellow,No,2080,520,Yellow,White,1x1,Able Sisters,Available from Able Sisters shop only,Winter,No,1.0.0,Cute,everyday; fairy tale; comfy,Yes,For sale,TopsTexOnepieceAlineLBolerocoat1,8441,ZfjpHYHKLozqxZ7qA
bolero coat,Blue,No,2080,520,Light blue,White,1x1,Able Sisters,Available from Able Sisters shop only,Winter,No,1.0.0,Cute,everyday; fairy tale; comfy,Yes,For sale,TopsTexOnepieceAlineLBolerocoat2,8442,NMPcsF6BSya9oqGeM
bolero coat,Green,No,2080,520,Green,White,1x1,Able Sisters,Available from Able Sisters shop only,Winter,No,1.0.0,Cute,everyday; fairy tale; comfy,Yes,For sale,TopsTexOnepieceAlineLBolerocoat3,8443,dKjjbBaEyMjzZADyr
bone costume,White,No,1280,320,Black,White,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Cool,fairy tale; goth,Yes,For sale,TopsTexOnepieceOverallLBoneWhite,3609,GQXHPDBvGeC7ud3RM
